valid_time,latitude,longitude,number,expver,sp,u10,v10,t2m,tp,lat,lon,Aykırı_Sütun
1970-05-01,37.54,44.56,0,1,779.5581,1.5052392,1.3258477,10.295299999999997,1.7523427,37.54,44.56,u10
1970-05-01,37.54,44.81,0,1,804.7330999999999,1.511709,1.2692987,12.476950000000045,1.5898902,37.54,44.81,u10
1970-05-01,37.29,44.81,0,1,795.9181,1.6454675,1.2791253,11.813379999999995,1.4749129,37.29,44.81,u10
1970-05-01,37.04,44.81,0,1,815.4481,1.4183862,0.94511044,13.312900000000013,1.1522132999999999,37.04,44.81,u10
1971-01-01,36.79,44.56,0,1,872.70625,-1.4927969,-0.65631866,-0.9695799999999508,1.4590726,36.79,44.56,u10
1971-01-01,36.54,44.56,0,1,879.57125,-1.5316763,-0.5625992,0.38613000000003694,1.7800734,36.54,44.56,u10
1971-02-01,37.54,44.81,0,1,799.87625,1.3510284,0.9531215,-5.01742999999999,1.8813813,37.54,44.81,u10
1971-02-01,37.29,44.81,0,1,790.54625,1.294632,0.8882106,-5.023299999999949,3.1792128,37.29,44.81,u10
1971-12-01,37.79,44.81,0,1,816.5930999999999,1.2878829,0.36792237,-4.980799999999988,2.304342,37.79,44.81,u10
1972-02-01,36.29,43.81,0,1,975.15,-1.5941648,-0.8654394,4.518460000000005,4.781042,36.29,43.81,u10
1972-02-01,36.29,44.06,0,1,954.23,-1.7671385,-0.5537939,3.29970000000003,5.140458199999999,36.29,44.06,u10
1972-02-01,36.29,44.31,0,1,927.38,-1.5391111,-0.5013647,1.3216800000000148,5.411421,36.29,44.31,u10
1972-07-01,36.29,43.31,0,1,965.33,1.5886341,0.20482767,33.678120000000035,0.0,36.29,43.31,u10
1972-07-01,36.29,43.56,0,1,964.915,1.2671009,0.3224119,33.41396000000003,0.00047683716000000004,36.29,43.56,u10
1973-01-01,36.29,44.06,0,1,955.2275,-1.4885759,-0.088980675,2.8868700000000445,2.9063937,36.29,44.06,u10
1973-04-01,37.54,44.81,0,1,802.0325,1.3225992,1.0652032,4.943260000000009,2.2644897,37.54,44.81,u10
1973-04-01,37.29,44.81,0,1,793.0475,1.3977945,0.95607233,3.6839800000000196,3.5493273999999997,37.29,44.81,u10
1973-08-01,36.29,43.31,0,1,965.9830999999999,1.2654378,-0.14639157,34.633200000000045,0.0,36.29,43.31,u10
1974-01-01,36.29,44.06,0,1,952.1306,-1.4592075,-0.1257515,4.063130000000001,4.4728206,36.29,44.06,u10
1974-04-01,37.29,44.81,0,1,791.6369,1.325378,1.0419912,3.5264999999999986,4.358002,37.29,44.81,u10
1974-05-01,37.79,44.31,0,1,762.485,1.3889456,1.1713915,9.811900000000037,0.59727544,37.79,44.31,u10
1974-05-01,37.79,44.56,0,1,786.62,1.2531729,1.0664415,12.196680000000015,0.64868445,37.79,44.56,u10
1974-05-01,37.54,44.56,0,1,779.56,1.375823,1.1490221,11.433500000000038,0.5109977,37.54,44.56,u10
1974-05-01,37.54,44.81,0,1,804.675,1.2911978,1.1119127,13.852930000000015,0.4188191,37.54,44.81,u10
1974-05-01,37.29,44.81,0,1,795.815,1.4555655,1.1408434,13.295299999999997,0.5469095,37.29,44.81,u10
1974-05-01,37.04,44.81,0,1,815.225,1.322753,0.81094843,14.619529999999997,0.44751874999999997,37.04,44.81,u10
1974-06-01,36.29,43.31,0,1,967.9694000000001,1.4707606,0.010132398,31.331200000000024,0.0089950245,36.29,43.31,u10
1975-07-01,36.29,43.31,0,1,964.40625,1.3893535,0.15613174,34.794100000000014,0.0,36.29,43.31,u10
1976-01-01,37.79,44.31,0,1,757.0669,1.3299284,1.1608076,-8.104349999999954,1.863555,37.79,44.31,u10
1976-01-01,37.79,44.56,0,1,782.4919,1.4779997,0.93534374,-7.32529999999997,1.4539519,37.79,44.56,u10
1976-01-01,37.79,44.81,0,1,815.3669,1.4448576,0.8118696,-5.79307,0.7204572,37.79,44.81,u10
1976-01-01,37.54,44.81,0,1,801.6469000000001,1.4395475,1.0249434,-5.712259999999958,1.7022649,37.54,44.81,u10
1976-01-01,37.29,44.81,0,1,792.3919000000001,1.28934,0.8377485,-5.62949999999995,3.5634795,37.29,44.81,u10
1976-07-01,36.29,43.31,0,1,964.4780999999999,1.4687326,0.18703318,32.80460000000005,0.0,36.29,43.31,u10
1976-08-01,36.29,43.31,0,1,965.9219,1.5366597,0.25236222,33.47183000000001,0.0,36.29,43.31,u10
