Year;Month;Average_Temperature (°C);Precipitation (mm);;;
1999;1;-7.120941;0.8509518;;;
1999;1;-7.4080505;0.80678475;;;
2000;1;7.07193;2.8782644;;;
2000;1;6.8956604;3.6037722;;;
2000;1;6.6940002;4.3296375;;;
2000;1;5.9513245;3.5395184;;;
2000;1;5.9430237;5.2011766;;;
2000;1;5.759918;4.275278;;;
2000;1;5.4962463;5.010442;;;
2000;1;4.75943;5.872325;;;
2000;1;4.3868713;5.8235683;;;
2000;1;3.6393127;4.787878;;;
2000;1;3.1446838;6.6160717;;;
2000;1;2.85318;6.4463177;;;
2000;1;2.618805;6.5280952;;;
2000;1;2.5416565;5.6277075;;;
2000;1;2.2848206;6.3209095;;;
2000;1;1.8419495;6.885127;;;
2000;1;1.3170471;7.508234;;;
2000;1;0.37368774;7.5438776;;;
2000;1;-0.66244507;7.2083035;;;
2000;1;-1.040863;7.2452583;;;
2000;1;-1.2547302;7.787303;;;
2000;1;-1.681488;8.079604;;;
2000;1;-2.0428162;8.179144;;;
2000;1;-2.2635193;7.9801836;;;
2000;1;-2.5467224;8.232192;;;
2000;1;-2.8372498;7.1891108;;;
2000;1;-3.6404724;6.956891;;;
2000;1;-4.6805115;5.8941402;;;
2000;1;-5.186859;7.991151;;;
2000;1;-5.4041443;2.2102156;;;
2000;1;-5.915863;3.4821787;;;
2000;1;-6.0032654;8.155779;;;
2000;1;-6.049652;8.029536;;;
2000;1;-6.108246;6.9675007;;;
2000;1;-6.2659607;8.349852;;;
2000;1;-6.339203;8.182005;;;
2000;1;-6.3450623;4.988269;;;
2000;1;-7.8250427;4.5033255;;;
2000;1;-7.941742;2.9661217;;;
2000;1;-8.022308;7.402853;;;
2000;1;-8.209808;5.6777754;;;
2000;1;-8.343109;6.3517847;;;
2000;1;-8.408539;6.9109955;;;
2000;1;-8.42514;7.28722;;;
2000;1;-9.313812;3.4642973;;;
2000;1;-9.4895935;3.9307632;;;
2000;1;-9.874359;4.4588604;;;
2000;1;-9.974457;5.486206;;;
2000;1;-10.185394;5.090312;;;
2001;1;8.025055;1.1436988;;;
2001;1;7.6354065;1.1560072;;;
2001;1;7.2218323;1.2320925;;;
2001;1;7.035309;0.93609583;;;
2001;1;6.6529846;0.94539416;;;
2001;1;6.403961;1.3686467;;;
2001;1;6.358551;0.9829451;;;
2001;1;5.546051;1.1769284;;;
2001;1;4.957184;0.8088101;;;
2001;1;4.94693;1.3604809;;;
2001;1;4.200836;0.7698287;;;
2001;1;3.952301;0.7954289;;;
2001;1;3.9166565;1.484548;;;
2001;1;3.895172;0.7845212;;;
2001;1;3.7623596;1.2415398;;;
2001;1;3.065094;0.919943;;;
2001;1;2.4029846;1.7352153;;;
2001;1;1.5904846;1.4585603;;;
2001;1;1.0885315;0.97069633;;;
2001;1;0.5982971;1.0288407;;;
2001;1;0.26626587;0.87667;;;
2001;1;0.108551025;0.86981547;;;
2001;1;0.096832275;0.78115356;;;
2001;1;-0.1253357;0.8263637;;;
2001;1;-0.5101013;1.7780412;;;
2001;1;-1.6712341;0.9203006;;;
2001;1;-2.2083435;1.2605835;;;
2001;1;-2.4544373;0.75135124;;;
2001;1;-3.3875427;0.7458974;;;
2001;1;-3.49057;1.048391;;;
2001;1;-3.613617;1.2025882;;;
2001;1;-3.9056091;0.7499505;;;
2001;1;-4.1492615;0.7920612;;;
2001;1;-4.344574;1.3336588;;;
2001;1;-4.412445;0.8891274;;;
2001;1;-4.648773;1.0228206;;;
2001;1;-4.9344177;1.1709679;;;
2001;1;-5.5906677;0.7468511;;;
2001;1;-5.9217224;0.9572853;;;
2001;1;-6.068695;1.0125984;;;
2001;1;-6.3196716;0.77704084;;;
2001;1;-6.3714294;0.8173336;;;
2001;1;-6.5452576;0.77483547;;;
2001;1;-6.5726013;0.7443179;;;
2001;1;-7.622406;0.8134891;;;
2001;1;-7.662445;0.72944653;;;
2001;1;-7.755707;0.72184694;;;
2001;1;-7.8699646;0.71666133;;;
2001;1;-8.05014;0.7319797;;;
2002;1;6.2398987;2.1423588;;;
2002;1;5.818512;2.7529488;;;
2002;1;5.532379;3.3405313;;;
2002;1;4.8614807;2.4585018;;;
2002;1;4.8614807;4.46241;;;
2002;1;4.429352;3.104497;;;
2002;1;4.0919495;4.0212164;;;
2002;1;3.445465;5.225588;;;
2002;1;3.231598;6.0478935;;;
2002;1;2.2511292;3.102828;;;
2002;1;2.0865784;7.4182043;;;
2002;1;1.5509338;6.550003;;;
2002;1;0.8102112;3.7949572;;;
2002;1;0.7623596;5.342413;;;
2002;1;0.49526978;8.394528;;;
2002;1;0.48355103;4.7081003;;;
2002;1;0.0597229;5.924631;;;
2002;1;-0.6199646;7.787157;;;
2002;1;-1.9602966;6.3919315;;;
2002;1;-2.6238708;8.5737;;;
2002;1;-2.6731873;4.136015;;;
2002;1;-3.2019958;5.8656225;;;
2002;1;-3.7937927;5.6931267;;;
2002;1;-4.134613;6.3821564;;;
2002;1;-4.2132263;4.7195444;;;
2002;1;-4.2293396;5.695034;;;
2002;1;-4.6214294;5.224634;;;
2002;1;-5.457855;4.8079977;;;
2002;1;-5.4637146;3.9301403;;;
2002;1;-6.1614685;1.1336098;;;
2002;1;-6.164398;2.170969;;;
2002;1;-6.4129333;4.154254;;;
2002;1;-6.6893005;5.249668;;;
2002;1;-6.7747498;5.5466185;;;
2002;1;-6.804535;3.9872415;;;
2002;1;-6.927582;4.5428762;;;
2002;1;-7.06723;5.0454626;;;
2002;1;-7.737152;3.6440382;;;
2002;1;-8.189301;3.1046162;;;
2002;1;-8.245941;3.8189182;;;
2002;1;-8.36557;3.9217956;;;
2002;1;-8.394867;4.1186104;;;
2002;1;-8.5208435;3.940273;;;
2002;1;-8.700531;1.7513523;;;
2002;1;-9.545746;2.2758732;;;
2002;1;-9.578461;2.4595747;;;
2002;1;-9.733246;2.7518759;;;
2002;1;-9.906097;2.6788006;;;
2002;1;-9.954437;2.0591507;;;
2003;1;8.548492;1.8010603;;;
2003;1;8.346344;2.1248326;;;
2003;1;8.094635;2.3605094;;;
2003;1;7.479889;2.9181705;;;
2003;1;7.4410706;2.0484195;;;
2003;1;7.2340393;2.4078355;;;
2003;1;6.9205627;2.9914842;;;
2003;1;6.321686;3.6033854;;;
2003;1;6.0367737;3.6848054;;;
2003;1;5.3956604;2.4494395;;;
2003;1;4.7867737;4.2142143;;;
2003;1;4.6356506;3.8540826;;;
2003;1;4.4376526;2.6783214;;;
2003;1;4.143219;3.6983953;;;
2003;1;4.0985413;3.2729373;;;
2003;1;3.5116272;3.4250484;;;
2003;1;3.0853577;4.485177;;;
2003;1;2.2765198;3.9138067;;;
2003;1;1.3119202;3.1376348;;;
2003;1;1.1927795;3.174828;;;
2003;1;0.7154846;3.6461816;;;
2003;1;0.3368225;3.4152732;;;
2003;1;0.30337524;3.1944976;;;
2003;1;0.050689697;4.0998926;;;
